Oyuncu,Takim,Ana_Mevki,Yas,Piyasa_Degeri_Euro,Gol,Asist,Gol_Beklentisi_xG,Mac_Sayisi,Oynadigi_Sure_Dk,Uyruk,Genel_Pozisyon,Lig,Ilk_11,90_Dk_Sayisi,Skor_Katkisi,Penaltisiz_Gol,Penalti_Gol,Penalti_Kullanimi,Sari_Kart,Kirmizi_Kart,Penaltisiz_Gol_Beklentisi_npxG,Asist_Beklentisi_xAG,Penaltisiz_Toplam_Beklenti,Top_Surme_Mesafe,Ileri_Pas_Sayisi,Ileri_Pas_Alma,Mac_Basi_Gol,Mac_Basi_Asist,Mac_Basi_Skor_Katkisi,Mac_Basi_Penaltisiz_Gol,Mac_Basi_Penaltisiz_Skor,Mac_Basi_xG,Mac_Basi_Asist_Beklentisi,Mac_Basi_Toplam_Beklenti,Mac_Basi_Penaltisiz_xG,Mac_Basi_Penaltisiz_Toplam_Beklenti,Boy_m,Ayak,Yas_Detay,Top_Calma_Toplam,Kazanilan_Top_Calma,Top_Calma_Defans_Bolgesi,Top_Calma_Orta_Saha,Top_Calma_Hucum_Bolgesi,Dribbling_Kesme,Calim_Yeme,Blok_Toplam,Sut_Blogu,Pas_Blogu,Pas_Arasi,Uzaklastirma,Hata_Gol_Yediren
Lilian Brassier,Rennes,Stoper,26.0,10000000.0,0.0,0.0,0.1,0.0,908.0,FRA,DF,Ligue 1 (FRA),10.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,17.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,1.86,Sol ayak,26-045,16.0,5.0,9.0,6.0,1.0,8.0,1.0,18.0,14.0,4.0,14.0,29.0,0.0
Breel Embolo,Rennes,Santrafor,28.0,12000000.0,4.0,1.0,3.2,0.0,856.0,SUI,FW,Ligue 1 (FRA),10.0,9.5,5.0,4.0,0.0,0.0,1.0,0.0,3.2,0.3,3.5,7.0,13.0,44.0,0.42,0.11,0.53,0.42,0.53,0.33,0.03,0.37,0.33,0.37,1.87,Sag ayak,28-306,15.0,10.0,2.0,8.0,5.0,1.0,4.0,7.0,2.0,5.0,4.0,6.0,0.0
Przemysław Frankowski,Rennes,Sag Bek,30.0,7000000.0,0.0,2.0,0.1,0.0,813.0,POL,DF,Ligue 1 (FRA),10.0,9.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,2.2,2.4,9.0,31.0,57.0,0.0,0.22,0.22,0.0,0.22,0.02,0.25,0.26,0.02,0.26,1.75,Sag ayak,30-249,29.0,17.0,18.0,11.0,0.0,16.0,14.0,5.0,0.0,5.0,4.0,26.0,1.0
Djaoui Cisse,Rennes,Merkez Orta Saha,21.0,15000000.0,0.0,0.0,0.6,0.0,710.0,FRA,MF,Ligue 1 (FRA),10.0,7.9,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.8,1.4,20.0,45.0,31.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.18,0.08,0.18,1.88,Sag ayak,21-320,26.0,12.0,13.0,7.0,6.0,10.0,6.0,12.0,4.0,8.0,2.0,5.0,0.0
Anthony Rouault,Rennes,Stoper,24.0,9000000.0,1.0,0.0,0.7,0.0,855.0,FRA,DF,Ligue 1 (FRA),9.0,9.5,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.1,0.8,5.0,54.0,0.0,0.11,0.0,0.11,0.11,0.11,0.07,0.01,0.08,0.07,0.08,1.86,Sag ayak,24-202,15.0,7.0,12.0,2.0,1.0,10.0,8.0,14.0,9.0,5.0,12.0,49.0,1.0
Abdelhamid Ait Boudlal,Rennes,Stoper,19.0,10000000.0,2.0,1.0,1.2,0.0,648.0,MAR,DF,Ligue 1 (FRA),8.0,7.2,3.0,2.0,0.0,0.0,2.0,1.0,1.2,0.3,1.5,8.0,25.0,7.0,0.28,0.14,0.42,0.28,0.42,0.17,0.04,0.21,0.17,0.21,1.9,Sag ayak,19-245,13.0,6.0,9.0,3.0,1.0,9.0,5.0,8.0,5.0,3.0,5.0,33.0,1.0
Ludovic Blas,Rennes,Sag Kanat,27.0,15000000.0,3.0,1.0,3.2,0.0,673.0,FRA,MF,Ligue 1 (FRA),7.0,7.5,4.0,1.0,2.0,2.0,0.0,0.0,1.6,2.0,3.6,22.0,43.0,60.0,0.4,0.13,0.53,0.13,0.27,0.42,0.27,0.69,0.21,0.48,1.8,Sol ayak,27-351,5.0,4.0,0.0,4.0,1.0,3.0,10.0,10.0,1.0,9.0,7.0,8.0,0.0
Seko Fofana,Rennes,Merkez Orta Saha,30.0,8000000.0,1.0,0.0,1.0,0.0,654.0,CIV,MF,Ligue 1 (FRA),7.0,7.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.6,23.0,41.0,40.0,0.14,0.0,0.14,0.14,0.14,0.14,0.07,0.22,0.14,0.22,1.85,Sag ayak,30-224,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,9.0,0.0
Alidu Seidu,Rennes,Stoper,25.0,6000000.0,0.0,1.0,0.0,0.0,448.0,GHA,DF,Ligue 1 (FRA),5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.9,11.0,31.0,16.0,0.0,0.2,0.2,0.0,0.2,0.0,0.17,0.18,0.0,0.18,1.73,Sag ayak,25-196,18.0,11.0,6.0,11.0,1.0,10.0,4.0,2.0,0.0,2.0,12.0,10.0,1.0
Fabian Rieder,Rennes,On Numara,23.0,6000000.0,0.0,0.0,0.0,0.0,133.0,SUI,MF,Ligue 1 (FRA),2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.15,1.79,Sol ayak,23-304,3.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,4.0,2.0,2.0,0.0
Mahamadou Nagida,Rennes,Sol Bek,20.0,1500000.0,0.0,0.0,0.3,0.0,86.0,CMR,DF,Ligue 1 (FRA),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.32,0.01,0.33,0.32,0.33,1.76,Sol ayak,20-172,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,6.0,1.0
Nordan Mukiele,Rennes,Sol Kanat,19.0,200000.0,0.0,0.0,0.1,0.0,29.0,FRA,MF,Ligue 1 (FRA),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.26,0.41,0.67,0.26,0.67,1.84,Sag ayak,19-308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Glen Kamara,Rennes,Merkez Orta Saha,30.0,2500000.0,0.0,0.0,0.0,0.0,26.0,FIN,MF,Ligue 1 (FRA),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,Sag ayak,30-050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hans Hateboer,Rennes,Sag Bek,31.0,2000000.0,0.0,0.0,0.0,0.0,22.0,NED,DF,Ligue 1 (FRA),0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,Sag ayak,31-342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Bertug Yildirim,Rennes,Santrafor,23.0,2000000.0,0.0,0.0,0.0,0.0,3.0,TUR,FW,Ligue 1 (FRA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,4.85,0.0,4.85,1.91,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Cresswell,Toulouse,Stoper,23.0,15000000.0,3.0,1.0,2.1,16.0,1440.0,ENG,DF,Ligue 1 (FRA),16.0,16.0,4.0,3.0,0.0,0.0,3.0,0.0,2.1,0.6,2.7,6.0,40.0,5.0,0.19,0.06,0.25,0.19,0.25,0.13,0.04,0.17,0.13,0.17,1.9,Sag ayak,23-122,13.0,8.0,10.0,3.0,0.0,7.0,8.0,22.0,19.0,3.0,15.0,107.0,0.0
Frank Magri,Toulouse,Santrafor,26.0,4000000.0,4.0,0.0,3.5,16.0,1172.0,CMR,FW,Ligue 1 (FRA),15.0,13.0,4.0,4.0,0.0,1.0,3.0,0.0,2.8,1.2,4.0,14.0,21.0,57.0,0.31,0.0,0.31,0.31,0.31,0.27,0.09,0.36,0.21,0.3,1.78,Sag ayak,26-104,7.0,2.0,0.0,6.0,1.0,2.0,6.0,9.0,1.0,8.0,3.0,12.0,0.0
Mark McKenzie,Toulouse,Stoper,26.0,6000000.0,0.0,1.0,0.2,15.0,1267.0,USA,DF,Ligue 1 (FRA),14.0,14.1,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.7,0.9,7.0,41.0,11.0,0.0,0.07,0.07,0.0,0.07,0.02,0.05,0.06,0.02,0.06,1.84,Sag ayak,26-295,24.0,15.0,14.0,7.0,3.0,18.0,3.0,19.0,10.0,9.0,10.0,57.0,0.0
Yann Gboho,Toulouse,Sol Kanat,24.0,12000000.0,5.0,1.0,2.9,15.0,1260.0,FRA,MF,Ligue 1 (FRA),14.0,14.0,6.0,5.0,0.0,0.0,0.0,0.0,2.8,2.0,4.8,58.0,69.0,93.0,0.36,0.07,0.43,0.36,0.43,0.21,0.14,0.35,0.2,0.34,1.78,Sag ayak,24-337,8.0,6.0,4.0,4.0,0.0,5.0,8.0,8.0,0.0,8.0,6.0,1.0,0.0
Cristian Casseres Jr.,Toulouse,Merkez Orta Saha,25.0,7000000.0,0.0,0.0,1.2,15.0,1258.0,VEN,MF,Ligue 1 (FRA),14.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,0.4,1.2,1.7,11.0,76.0,20.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.03,0.12,1.76,Sag ayak,25-331,33.0,18.0,16.0,15.0,2.0,17.0,15.0,10.0,5.0,5.0,15.0,17.0,1.0
Rasmus Nicolaisen,Toulouse,Stoper,28.0,5000000.0,0.0,0.0,0.4,16.0,1223.0,DEN,DF,Ligue 1 (FRA),14.0,13.6,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.1,0.5,1.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,1.91,Sol ayak,28-276,14.0,9.0,7.0,6.0,1.0,8.0,5.0,17.0,8.0,9.0,19.0,77.0,1.0
Dayann Methalie,Toulouse,Sol Bek,19.0,8000000.0,0.0,0.0,0.6,16.0,1160.0,FRA,DF,Ligue 1 (FRA),14.0,12.9,0.0,0.0,0.0,0.0,4.0,0.0,0.6,1.1,1.7,26.0,23.0,67.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,1.88,Sol ayak,19-305,34.0,19.0,18.0,10.0,6.0,15.0,3.0,10.0,3.0,7.0,11.0,25.0,1.0
Aron Dønnum,Toulouse,Orta Saha Sol,27.0,5000000.0,3.0,2.0,3.5,13.0,1170.0,NOR,MF,Ligue 1 (FRA),13.0,13.0,5.0,0.0,3.0,3.0,5.0,0.0,1.1,2.7,3.8,39.0,78.0,72.0,0.23,0.15,0.38,0.0,0.15,0.27,0.21,0.47,0.08,0.29,1.78,Sol ayak,27-241,23.0,12.0,9.0,10.0,4.0,14.0,13.0,12.0,1.0,11.0,17.0,9.0,0.0
Djibril Sidibe,Toulouse,Sag Bek,33.0,1000000.0,2.0,3.0,1.9,16.0,1003.0,FRA,DF,Ligue 1 (FRA),12.0,11.1,5.0,1.0,1.0,2.0,1.0,0.0,0.4,1.7,2.0,15.0,44.0,50.0,0.18,0.27,0.45,0.09,0.36,0.17,0.15,0.32,0.03,0.18,1.83,Sag ayak,33-141,25.0,18.0,14.0,8.0,3.0,15.0,6.0,6.0,2.0,4.0,7.0,27.0,1.0
Emersonn,Toulouse,Santrafor,21.0,4000000.0,3.0,2.0,4.4,12.0,784.0,BRA,FW,Ligue 1 (FRA),9.0,8.7,5.0,3.0,0.0,0.0,3.0,0.0,4.4,0.4,4.8,12.0,15.0,44.0,0.34,0.23,0.57,0.34,0.57,0.5,0.05,0.55,0.5,0.55,1.93,Sag ayak,21-154,12.0,5.0,1.0,6.0,5.0,4.0,5.0,4.0,0.0,4.0,5.0,9.0,0.0
Mario Sauer,Toulouse,On Numara,21.0,1800000.0,0.0,0.0,0.3,12.0,470.0,SVK,MF,Ligue 1 (FRA),6.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.1,0.3,7.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,1.8,Sag ayak,21-216,9.0,6.0,4.0,2.0,3.0,4.0,5.0,7.0,1.0,6.0,8.0,8.0,0.0
Alexis Vossah,Toulouse,Merkez Orta Saha,17.0,3000000.0,1.0,1.0,0.5,12.0,490.0,FRA,MF,Ligue 1 (FRA),4.0,5.4,2.0,1.0,0.0,0.0,1.0,1.0,0.5,0.3,0.8,1.0,9.0,9.0,0.18,0.18,0.37,0.18,0.37,0.1,0.05,0.15,0.1,0.15,1.81,Sag ayak,17-281,6.0,2.0,0.0,4.0,2.0,4.0,4.0,6.0,1.0,5.0,3.0,9.0,0.0
Warren Kamanzi,Toulouse,Sag Bek,25.0,1500000.0,0.0,0.0,0.4,12.0,332.0,NOR,DF,Ligue 1 (FRA),2.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.7,14.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18,1.77,Sag ayak,25-036,7.0,3.0,3.0,3.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,10.0,0.0
Santiago Hidalgo,Toulouse,Santrafor,20.0,2000000.0,2.0,2.0,1.1,12.0,241.0,ARG,FW,Ligue 1 (FRA),2.0,2.7,4.0,2.0,0.0,0.0,1.0,0.0,1.1,0.2,1.3,5.0,5.0,23.0,0.75,0.75,1.49,0.75,1.49,0.41,0.07,0.47,0.41,0.47,1.74,Sol ayak,20-303,6.0,4.0,3.0,3.0,0.0,2.0,5.0,5.0,1.0,4.0,1.0,5.0,0.0
Noah Edjouma,Toulouse,Sag Kanat,20.0,2500000.0,0.0,0.0,0.3,10.0,230.0,FRA,MF,Ligue 1 (FRA),2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.7,14.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.13,0.16,0.29,0.13,0.29,1.82,Sol ayak,20-074,4.0,3.0,2.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,5.0,0.0
Jaydee Canvot,Toulouse,Stoper,19.0,20000000.0,0.0,0.0,0.1,2.0,180.0,FRA,MF,Ligue 1 (FRA),2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,1.88,Sag ayak,19-141,2.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,2.0,3.0,0.0,9.0,0.0
Rafik Messali,Toulouse,Orta Saha Sag,22.0,800000.0,0.0,0.0,0.0,6.0,133.0,FRA,MF,Ligue 1 (FRA),0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,Sag ayak,22-233,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0
Julian Vignolo,Toulouse,Santrafor,19.0,1000000.0,0.0,0.0,0.0,4.0,30.0,ARG,MF,Ligue 1 (FRA),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,1.85,Sag ayak,19-010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seny Koumbassa,Toulouse,Stoper,18.0,100000.0,0.0,0.0,0.0,1.0,12.0,FRA,DF,Ligue 1 (FRA),0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,Sag ayak,18-180,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joaquin Panichelli,Strasbourg,Santrafor,23.0,25000000.0,9.0,0.0,8.9,16.0,1315.0,ARG,FW,Ligue 1 (FRA),15.0,14.6,9.0,7.0,2.0,2.0,2.0,0.0,7.3,1.6,9.0,8.0,11.0,75.0,0.62,0.0,0.62,0.48,0.48,0.61,0.11,0.72,0.5,0.61,1.9,Sag ayak,23-071,19.0,5.0,4.0,8.0,7.0,7.0,10.0,18.0,7.0,11.0,9.0,20.0,0.0
Valentin Barco,Strasbourg,Merkez Orta Saha,21.0,25000000.0,1.0,4.0,1.4,14.0,1152.0,ARG,MF,Ligue 1 (FRA),13.0,12.8,5.0,1.0,0.0,0.0,2.0,1.0,1.4,3.5,4.9,22.0,105.0,48.0,0.08,0.31,0.39,0.08,0.39,0.11,0.27,0.38,0.11,0.38,1.7,Sol ayak,21-147,29.0,18.0,15.0,9.0,5.0,18.0,3.0,11.0,0.0,11.0,9.0,10.0,0.0
Diego Moreira,Strasbourg,Orta Saha Sol,21.0,18000000.0,1.0,2.0,0.8,15.0,1128.0,BEL,DF,Ligue 1 (FRA),13.0,12.5,3.0,1.0,0.0,0.0,3.0,0.0,0.8,4.0,4.8,39.0,55.0,118.0,0.08,0.16,0.24,0.08,0.24,0.06,0.32,0.38,0.06,0.38,1.79,Sol ayak,21-133,23.0,12.0,12.0,5.0,6.0,15.0,12.0,12.0,3.0,9.0,12.0,21.0,0.0
Mamadou Sarr,Strasbourg,Stoper,20.0,25000000.0,0.0,0.0,0.1,13.0,1125.0,SEN,DF,Ligue 1 (FRA),13.0,12.5,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,7.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,1.94,Sag ayak,20-110,15.0,12.0,6.0,8.0,1.0,6.0,5.0,7.0,1.0,6.0,6.0,60.0,0.0
Guela Doue,Strasbourg,Sag Bek,23.0,18000000.0,1.0,3.0,1.0,12.0,996.0,CIV,DF,Ligue 1 (FRA),11.0,11.1,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.4,2.4,18.0,75.0,31.0,0.09,0.27,0.36,0.09,0.36,0.09,0.12,0.21,0.09,0.21,1.87,Sag ayak,23-061,22.0,18.0,11.0,7.0,4.0,15.0,9.0,13.0,2.0,11.0,9.0,43.0,0.0
Ismael Doukoure,Strasbourg,Stoper,22.0,18000000.0,0.0,1.0,0.4,11.0,920.0,FRA,DF,Ligue 1 (FRA),11.0,10.2,1.0,0.0,0.0,0.0,2.0,1.0,0.4,0.5,0.9,9.0,40.0,7.0,0.0,0.1,0.1,0.0,0.1,0.04,0.05,0.09,0.04,0.09,1.83,Sag ayak,22-146,9.0,6.0,2.0,4.0,3.0,3.0,2.0,6.0,3.0,3.0,12.0,22.0,0.0
Samir El Mourabet,Strasbourg,Merkez Orta Saha,20.0,8000000.0,0.0,0.0,0.2,16.0,916.0,MAR,MF,Ligue 1 (FRA),11.0,10.2,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.9,1.1,4.0,58.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,1.86,Sol ayak,20-072,32.0,13.0,5.0,21.0,6.0,17.0,6.0,17.0,6.0,11.0,9.0,7.0,2.0
Abdoul Ouattara,Strasbourg,Sag Kanat,20.0,9000000.0,2.0,0.0,1.5,13.0,842.0,FRA,DF,Ligue 1 (FRA),10.0,9.4,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.4,2.8,16.0,31.0,57.0,0.21,0.0,0.21,0.21,0.21,0.16,0.15,0.3,0.16,0.3,1.8,Sag ayak,20-056,12.0,6.0,7.0,3.0,2.0,3.0,5.0,7.0,0.0,7.0,8.0,14.0,0.0
Lucas Høgsberg,Strasbourg,Stoper,19.0,12000000.0,0.0,0.0,0.1,10.0,839.0,DEN,DF,Ligue 1 (FRA),10.0,9.3,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.2,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,1.87,Sag ayak,19-177,11.0,6.0,6.0,4.0,1.0,8.0,6.0,8.0,7.0,1.0,8.0,26.0,2.0
Ben Chilwell,Strasbourg,Sol Bek,28.0,12000000.0,0.0,1.0,0.0,10.0,772.0,ENG,DF,Ligue 1 (FRA),9.0,8.6,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3,0.3,9.0,29.0,13.0,0.0,0.12,0.12,0.0,0.12,0.0,0.03,0.04,0.0,0.04,1.8,Sol ayak,28-361,10.0,8.0,5.0,4.0,1.0,7.0,7.0,7.0,2.0,5.0,5.0,28.0,2.0
Julio Enciso,Strasbourg,On Numara,21.0,20000000.0,0.0,0.0,1.9,9.0,600.0,PAR,MF,Ligue 1 (FRA),7.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0,1.9,0.3,2.2,17.0,31.0,40.0,0.0,0.0,0.0,0.0,0.0,0.29,0.04,0.33,0.29,0.33,1.73,Sag ayak,21-328,5.0,3.0,3.0,2.0,0.0,3.0,2.0,8.0,0.0,8.0,1.0,5.0,1.0
Felix Lemarechal,Strasbourg,On Numara,22.0,10000000.0,0.0,2.0,0.9,10.0,544.0,FRA,MF,Ligue 1 (FRA),7.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.9,1.1,2.0,13.0,24.0,41.0,0.0,0.33,0.33,0.0,0.33,0.15,0.19,0.33,0.15,0.33,1.8,Sag ayak,22-132,17.0,6.0,6.0,6.0,5.0,7.0,9.0,13.0,0.0,13.0,3.0,7.0,1.0
Samuel Amo-Ameyaw,Strasbourg,Sag Kanat,19.0,8000000.0,1.0,1.0,0.3,11.0,466.0,ENG,DF,Ligue 1 (FRA),4.0,5.2,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.5,0.8,32.0,15.0,52.0,0.19,0.19,0.39,0.19,0.39,0.06,0.09,0.15,0.06,0.15,1.74,Sol ayak,19-152,15.0,7.0,5.0,8.0,2.0,10.0,9.0,3.0,0.0,3.0,3.0,1.0,0.0
Andrew Omobamidele,Strasbourg,Stoper,23.0,7000000.0,0.0,0.0,0.2,12.0,439.0,IRL,DF,Ligue 1 (FRA),4.0,4.9,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,1.88,Sag ayak,23-177,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,5.0,26.0,0.0
Emanuel Emegha,Strasbourg,Santrafor,22.0,28000000.0,4.0,2.0,3.5,7.0,414.0,NED,FW,Ligue 1 (FRA),4.0,4.6,6.0,4.0,0.0,0.0,3.0,0.0,3.5,1.2,4.7,4.0,1.0,13.0,0.87,0.43,1.3,0.87,1.3,0.77,0.26,1.03,0.77,1.03,1.96,Sag ayak,22-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Kendry Paez,Strasbourg,On Numara,18.0,10000000.0,1.0,0.0,0.8,13.0,412.0,ECU,MF,Ligue 1 (FRA),4.0,4.6,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.4,1.3,16.0,23.0,35.0,0.22,0.0,0.22,0.22,0.22,0.18,0.1,0.27,0.18,0.27,1.78,Sol ayak,18-227,6.0,4.0,2.0,4.0,0.0,2.0,14.0,10.0,0.0,10.0,3.0,6.0,1.0
Sebastian Nanasi,Strasbourg,Orta Saha Sol,23.0,15000000.0,2.0,1.0,1.5,7.0,334.0,SWE,MF,Ligue 1 (FRA),4.0,3.7,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.6,3.1,10.0,21.0,32.0,0.54,0.27,0.81,0.54,0.81,0.39,0.44,0.83,0.39,0.83,1.78,Sag ayak,23-215,4.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,0.0,1.0,4.0,4.0,0.0
Martial Godo,Strasbourg,Sol Kanat,22.0,7000000.0,2.0,0.0,1.9,11.0,307.0,ENG,MF,Ligue 1 (FRA),3.0,3.4,2.0,2.0,0.0,0.0,2.0,0.0,1.9,0.1,1.9,10.0,5.0,40.0,0.59,0.0,0.59,0.59,0.59,0.55,0.02,0.57,0.55,0.57,1.77,Sag ayak,22-278,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,4.0,0.0
Mathis Amougou,Strasbourg,Merkez Orta Saha,19.0,10000000.0,0.0,0.0,0.2,8.0,262.0,FRA,MF,Ligue 1 (FRA),2.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,7.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.13,0.06,0.13,1.77,Sag ayak,19-333,9.0,5.0,1.0,7.0,1.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0
Junior Mwanga,Strasbourg,On Libero,22.0,7000000.0,0.0,0.0,0.0,2.0,180.0,FRA,DF,Ligue 1 (FRA),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,1.84,Cift ayak,22-220,8.0,5.0,3.0,4.0,1.0,5.0,2.0,3.0,0.0,3.0,1.0,3.0,0.0
Dilane Bakwa,Strasbourg,Sag Kanat,23.0,32000000.0,1.0,2.0,0.1,3.0,107.0,FRA,DF,Ligue 1 (FRA),0.0,1.2,3.0,1.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,10.0,6.0,17.0,0.84,1.68,2.52,0.84,2.52,0.12,0.3,0.42,0.12,0.42,1.8,Sol ayak,23-113,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0
Rabby Nzingoula,Strasbourg,On Libero,20.0,2000000.0,0.0,0.0,0.0,4.0,51.0,FRA,DF,Ligue 1 (FRA),0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,1.83,Sag ayak,20-022,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
